NetApp Inc.,"Sunnyvale, California (Headquarters)",https://cloud.netapp.com/aws-partners,Advanced Technology Partner,"NetApp is a data authority for hybrid cloud, providing a full range of hybrid cloud data services that simplify management of applications and data across cloud and on-premises environments to accelerate digital transformation. NetApp empowers global organizations to unleash the full potential of their data to expand customer touchpoints, foster greater innovation, and optimize their operations.",Storage,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Non-Profit,Authority to Operate on AWS","AWS Certified Cloud Practitioner,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified SysOps Administrator - Associate","Archiving,Big Data, Analytics, Batch Processing &,Business Applications - Microsoft,Business Applications - Oracle,Business Applications - Other,Business Applications - SAP,Database & Data Warehouse,Dev & Test,Disaster Recovery,High Availability,High Performance Computing (HPC),Internet of Things (IoT),Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO),Web & Web Apps",Software & Internet,"Education,Enterprise,Government - Local,Government - National,Mid-size Business,Non-Profit,Startup","Linux,Microsoft .NET,Microsoft Exchange,Microsoft SharePoint,Microsoft SQL,MySql,Oracle Apps,Oracle DB,Oracle Middleware,SAP,System Management","Cloud Migration Services,Assessments","Application Development,Application Stacks,Databases & Caching",b'https://aws.amazon.com/partners/find/partnerdetails/?n=NetApp%20Inc.&id=001E000000Rl0xQIAR'
Alfresco,"San Mateo, CA (Headquarters)",http://www.ALFRESCO.COM,Advanced Technology Partner,"Alfresco provides the most flexible, scalable, and open platform that intelligently activates content and processes, delivering the fastest path for people to interact with information and for companies to respond to and address changing business needs.",Education,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Non-Profit","AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified Solutions Architect - Professional","Content Delivery,Mobile,Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO),Web & Web Apps",Software & Internet,"Enterprise,Government - Local,Government - National,Mid-size Business","Apache,Flash Media Server,Hadoop,Linux,PHP,Ruby",Managed Service Provider,"Application Stacks,Application Servers,Security",b'https://aws.amazon.com/partners/find/partnerdetails/?n=Alfresco&id=001E000000Rl0yRIAR'
Druva Global Alliance,"Sunnyvale, CA (Headquarters)",http://www.druva.com/,Advanced Technology Partner,"Druva is the leader in cloud data protection and information management, leveraging the public cloud to offer a single pane of glass to protect, preserve and discover information – dramatically increasing the availability and visibility of business critical information, while reducing the risk, cost and complexity of managing and protecting it.","Storage,Government",AWS GovCloud (US),"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education",,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Druva%20Global%20Alliance&id=001E000000Rp588IAB'
Lemongrass Consulting,"Reading, Berkshire (Headquarters)",https://lemongrassconsulting.com,Premier Consulting Partner,"Lemongrass Consulting are a recognised and globally operating expert in Implementing, Migrating, Operating, Innovating and Automating SAP S/4 HANA, Business Suite and SAP Business One environments on the AWS Cloud.As SAP on AWS is all that we do, we are fully aligned with our customers’ goals and objectives. We have a 100% success record.",SAP,"Authorized Commercial Reseller,Managed Service Provider,Well Architected","AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified Developer - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional","Archiving,Big Data, Analytics, Batch Processing &,Business Applications - Microsoft,Business Applications - Other,Business Applications - SAP,Database & Data Warehouse,Dev & Test,Disaster Recovery,High Availability,Internet of Things (IoT),Mobile,Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO)",Professional Services,"Education,Government,Small Business,Enterprise,Government - Local,Government - National,Mid-size Business","Linux,Microsoft .NET,Microsoft Exchange,Microsoft SharePoint,Microsoft SQL,Oracle Apps,Oracle DB,Oracle Middleware,SAP,System Management","Assessment / Jumpstart Pkg,Cloud Migration Services,Custom Application Development,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Training",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Lemongrass%20Consulting&id=001E000000Rp5XcIAJ'
NorthBay,"Andover, MA (Headquarters)",http://www.northbaysolutions.com,Advanced Consulting Partner,"NorthBay's intense focus is unparalleled in the areas of Big Data (Data Lakes, Data Platforms, Enterprise Data Warehouse), Database & Application Migrations and Machine Learning/AI. NorthBay has earned the Big Data, Mobile & Education Competency and is also a Public Sector Partner and we are also certified for Well Architected Reviews and DB Freedom.","Data & Analytics,Mobile,Education","Amazon DynamoDB,Amazon EMR,Amazon Kinesis,Amazon Redshift,AWS Lambda",AWS Public Sector Partner: Education,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=NorthBay&id=001E000000gKImTIAW'
Versent,"Melbourne, Victoria (Headquarters)",http://www.versent.com.au,Premier Consulting Partner,"Our mission is to help businesses lay the foundations they need to interact and succeed in the ""digitised"" world. This includes facing into technical, cultural and procedural change, to help enterprises “Think and Act” like start-ups. At Versent, we believe in bringing craftsmanship back to technology, because as technology artisans, we passionately care about quality outcomes.","DevOps,Migration,Security",Managed Service Provider,"AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional,AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified Solutions Architect - Professional","Big Data, Analytics, Batch Processing &,Business Applications - Microsoft,Business Applications - SAP,Content Delivery,Dev & Test,Internet of Things (IoT),Mobile,Security & Compliance,Web & Web Apps",Financial Services,"Enterprise,Government - National,Mid-size Business","Apache,JBOSS,Linux,Microsoft .NET,Microsoft SQL,SAP,System Management","Cloud Migration Services,Custom Application Development,Digital Marketing,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Assessments",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Versent&id=001E00000100qowIAA'
Palo Alto Networks,"Santa Clara, CA (Headquarters)",http://www.paloaltonetworks.com,Advanced Technology Partner,"Palo Alto Networks helps customers accelerate cloud migration initiatives with inline and API-based security offerings that complement native AWS security features. The VM-Series controls apps, prevents threats and stops data loss for workloads and containers within a VPC. RedLock enforces policy, configuration and compliance across your entire AWS estate. Demisto accelerated incident response.",Security,"AWS Marketplace Seller,AWS Public Sector Partner: Government","AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified Sysops Administrator - Associate","Security & Compliance,GDPR Practice",Software & Internet,"Education,Government,Enterprise,Government - National,Mid-size Business",Systems Integration,"Network Infrastructure,Security",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Palo%20Alto%20Networks&id=001E0000013FeQXIA0'
Pagely - Managed WordPress Hosting,"Tucson, AZ (Headquarters)",https://pagely.com/,Advanced Technology Partner,MANAGED WORDPRESS HOSTING SOLUTIONS FOR AMAZON WEB SERVICES. We help big brands scale WordPress. Deploy WordPress on the AWS Cloud with Pagely Managed WordPress on AWS,Digital Customer Experience,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Pagely%20-%20Managed%20WordPress%20Hosting&id=001E0000013FevVIAS'
A Cloud Guru,"Austin, TX (Headquarters)",https://acloud.guru,Advanced Technology Partner,"A Cloud Guru offers on-demand cloud education for all levels, including certification paths, hands-on labs, weekly episodes, and deep-dive courses that provide your teams with the skills they need to deliver results. Visit ACG at acloud.guru to learn more, or purchase a membership for your teams directly from the AWS Marketplace: http://aws-marketplace.acloud.guru",Education,"AWS Marketplace Seller,AWS Public Sector Partner: Nonprofit","AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional,AWS Certified Solutions Architect - Professional","Content Delivery,Database & Data Warehouse,Dev & Test,High Availability,Internet of Things (IoT),Mobile,Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO),Web & Web Apps",Education,"Education,Enterprise,Government - Local,Government - National,Mid-size Business,Non-Profit,Startup","Strategic / IT Consulting,Assessments",,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=A%20Cloud%20Guru&id=001E000001HPUEeIAP'
CloudRanger,"Letterkenny, Co.Donegal (Headquarters)",https://cloudranger.com,Advanced Technology Partner,"Druva CloudRanger provides a single console to simplify data protection and lifecycle management across AWS workloads. Get Enterprise-level AWS infrastructure backup and, disaster recovery, with data flexibility across AWS regions and accounts for simplified workload mobility. Delivered “as-a-Service”, and built on AWS, our SaaS solution is designed for infinite scale, security, and flexibility.",Storage,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=CloudRanger&id=001E000001Lff5PIAR'
