"Oscillas Technologies, Inc.","Chicago, Illinois (Headquarters)",http://www.oscillas.com,Select Consulting Partner,,AWS Certified Solutions Architect - Associate,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Oscillas%20Technologies%2C%20Inc.&id=0010L00001tCTdEQAW
USEN ICT Solutions CORPORATION,"品川区上大崎, 東京都 (Headquarters)",https://usen-ict.co.jp/,Select Technology Partner,,AWS Certified Solutions Architect - Associate,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=USEN%20ICT%20Solutions%20CORPORATION&id=0010L00001tCURnQAO
"ZHUHAI LCOLA TECHNOLOGY CO.,LTD","珠海市, Guangdong (Headquarters)",https://www.lcola.cn,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=ZHUHAI%20LCOLA%20TECHNOLOGY%20CO.%2CLTD&id=0010L00001tCUXiQAO
Bloomz Inc,"Redmond, Washington (Headquarters)",http://www.bloomz.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Bloomz%20Inc&id=0010L00001tCVWbQAO
Hmcomm Inc.,"港区芝大門, 東京都 (Headquarters)",http://hmcom.co.jp/,Select Technology Partner,主な技術はディープラーニング音声認識処理、自然言語処理、自動要約処理となります。,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Hmcomm%20Inc.&id=0010L00001tCXEuQAO
Extreme Networks,"San Jose, California (Headquarters)",http://www.extremenetworks.com,Select Technology Partner,"Software-driven networking including Access Points, Campus Switches, Data Center, and cloud",AWS Certified Solutions Architect - Associate,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Extreme%20Networks&id=0010L00001tCY6tQAG
OpenService,"Apodaca,  Nuevo León (Headquarters)",http://www.openservice.mx,Select Consulting Partner,"OpenService es una compañía apasionada por el servicio. En sus más de 20 años de existencia se ha encargado de ofrecer servicios de TI de alta calidad llenos de innovación. Con oficinas en Monterrey, Ciudad de México y Austin, OpenService ha tenido la oportunidad de colaborar con empresas de talla mundial asistiéndoles a alcanzar sus objetivos a través de servicios de alto valor.",AWS Certified Solutions Architect - Associate,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=OpenService&id=0010L00001tCYdSQAW
TribalScale,"Toronto, Ontario (Headquarters)",https://www.tribalscale.com/,Select Consulting Partner,"TribalScale is a global innovation firm specializing in world class digital products, product strategy, design & development for some of the world's top brands. TRANSFORMATION SERVICES. We teach enterprises our unique development approach to enable them to be more nimble. PROJECT SERVICES. We build world class web, mobile, OTT, IoT products. VENTURE STUDIOS: We build disruptive startups.","AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=TribalScale&id=0010L00001tCYopQAG
junkshon,"Henley-On-Thames,, Oxford (Headquarters)",http://www.junkshon.com,Select Technology Partner,"Rapid, Software-driven Analysis & Insights to inform and enable your migration strategy Hundred's of years collective migration experience embedded into our purpose-built junkshon workload mobility analytics platform",,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=junkshon&id=0010L00001tCZmyQAG
Syncurity Corporation,"Bethesda, Maryland (Headquarters)",https://www.syncurity.net,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Syncurity%20Corporation&id=0010L00001tCbquQAC
Heidelberg mobil International GmbH,"Heidelberg, Baden-Wuerttemberg (Headquarters)",http://www.heidelberg-mobil.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Heidelberg%20mobil%20International%20GmbH&id=0010L00001tCcoTQAS
R&Y Labs,"Atlanta, Georgia (Headquarters)",http://www.rylabs.io,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=R%26Y%20Labs&id=0010L00001tCdEPQA0
Bedrock Automation,"San Jose, California (Headquarters)",http://www.bedrockautomation.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Bedrock%20Automation&id=0010L00001tCeXYQA0
Seeq Corporation,"Seattle, Washington (Headquarters)",http://www.seeq.com,Select Technology Partner,"Seeq® enables process manufacturing organizations to rapidly investigate and share insights from time series data stored in any on premise historian, Amazon Redshift, and S3 data service. With diagnostic, monitoring, and predictive analytics powered by innovations in big data and machine learning technologies, helps organizations turn data into insights that drive process improvement and increase",,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Seeq%20Corporation&id=0010L00001tCeZtQAK
Kaliop,"Montpellier, Hérault (Headquarters)",http://www.kaliop.fr,Select Consulting Partner,,"AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Kaliop&id=0010L00001tCfAHQA0
Zycus,"Mumbai, Maharashtra (Headquarters)",http://www.zycus.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Zycus&id=0010L00001tCfRlQAK
MINT Media Interactive Software Systems GmbH,"Kiel, SH (Headquarters)",http://www.media-interactive.de,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=MINT%20Media%20Interactive%20Software%20Systems%20GmbH&id=0010L00001tCfZ6QAK
"StrongBox Data Solutions, Inc","Montreal, Quebec (Headquarters)",http://www.strongboxdata.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=StrongBox%20Data%20Solutions%2C%20Inc&id=0010L00001tCgWzQAK
Osprey Informatics,"Calgary, Alberta (Headquarters)",http://www.ospreyinformatics.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Osprey%20Informatics&id=0010L00001tCgkjQAC
AVANA,"PETALING JAYA, Selangor (Headquarters)",http://www.avana.asia,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=AVANA&id=0010L00001tChnZQAS
Docbyte NV,"SINT-DENIJS-WESTREM, Oost-Vlaanderen (Headquarters)",http://www.docbyte.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Docbyte%20NV&id=0010L00001tCjgmQAC
Supahands,"Kuala Lumpur, Kuala Lumpur (Headquarters)",http://www.supahands.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Supahands&id=0010L00001tCmnWQAS
Prolucid Technologies,"Mississauga, Ontario (Headquarters)",http://www.prolucid.ca,Select Technology Partner,"Prolucid is a systems integration company that helps customers build and maintain secure Industrial IoT systems, including integration of edge devices with cloud applications and infrastructure. We also provide tools and services to apply machine learning and advanced analytics to extract useful information from the collected big data, enabling enhanced intelligence.",,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Prolucid%20Technologies&id=0010L00001tCn2TQAS
Alcor Solutions Inc.,"Dublin, California (Headquarters)",http://www.alcortech.com,Select Consulting Partner,,"AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Alcor%20Solutions%20Inc.&id=0010L00001tCoELQA0
Pachyderm,"San Francisco, California (Headquarters)",http://www.pachyderm.io,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Pachyderm&id=0010L00001tCoIIQA0
TekValley,"Pleasanton, California (Headquarters)",http://www.tekvalley.com,Select Consulting Partner,"What sets TekValley apart is that we leave no gaps when it comes to fitting the right technologies and service model to the customer’s business. With over 80 US-based and 150 India-based technical experts encompassing the widest range of experience, tech disciplines, and industries.","AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=TekValley&id=0010L00001tCoiHQAS
Peernova,"San Jose, California (Headquarters)",http://www.peernova.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Peernova&id=0010L00001tCoiMQAS
Elucipath Inc.,"Kanata, Ontario (Headquarters)",https://elucipath.com,Select Consulting Partner,"Elucipath is a small business serving clients in North America. We provide end to end custom application development, migration of applications including replatforming and refactoring, DevOps, monitoring, solution design/architecture, and cost optimization.","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Elucipath%20Inc.&id=0010L00001tCpDPQA0
Kentik,"San Francisco, California (Headquarters)",http://www.kentik.com,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Kentik&id=0010L00001u3jbcQAA
GENY MEDIUM LABS PVT.LTD,"Hyderabad, Andrapradesh (Headquarters)",https://www.genylabs.io,Select Technology Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=GENY%20MEDIUM%20LABS%20PVT.LTD&id=0010L00001u3ll7QAA
Learn on Demand Systems,"NEW PORT RICHEY, Florida (Headquarters)",http://www.learnondemandsystems.com,Select Technology Partner,"We work with customers to create, manage and deliver hands-on environments hosted on AWS. These environments are typically used for instructor-led classes, self-paced courses, events/conferences and software demos.",,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Learn%20on%20Demand%20Systems&id=0010L00001u3lzGQAQ
Noovolari,"Pavia, PV (Headquarters)",http://www.noovolari.com,Select Technology Partner,"Noovolari is a set of management tools designed to help Cloud Pros to manage resources in a new smart way. Noovolari Smart Backup is a backup-as-a-service tool for managing backups and disaster-recovery of EC2, RDS, and Aurora, using native AWS snapshots. It takes care of data consistency, with its application-aware processing, and ensures reliability through cross-region and cross-account replica",,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Noovolari&id=0010L00001u3oeVQAQ
Tiempo Development,"Tempe, Arizona (Headquarters)",http://www.tiempodev.com,Select Consulting Partner,,,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Tiempo%20Development&id=0010L00001u3p9QQAQ
