Incluit,"Cordoba, Córdoba (Headquarters)",http://www.incluit.com,,"INCLUIT helps customer create and migrate solutions for their business in order to move faster and then have a better time-to-market. Our technical teams are prepared with competencies like Migrations, Development, DevOps and Big Data with a great vision about architecture and design, digital transformation, managed services, and IT services.",AWS Public Sector Partner: Education,"AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Incluit&id=0010L00001pDA3cQAG
Tamkeen Technologies,"Riyadh, Riyadh (Headquarters)",http://www.tamkeentech.sa,,"Tamkeen Technologies is a Saudi Company owned by the Human Resources Development Fund (HRDF) and Takamol Holding. Tamkeen was established in 2013 with an ambitious vision to be the Preferred IT Partner for the Government sector. We are committed to deliver innovative IT solutions to our clients by leveraging our strategic partnerships, utilizing best Saudi talent and adopting leading technologies.","AWS Public Sector Partner: Government, Education","AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Tamkeen%20Technologies&id=0010L00001pDFOPQA4
Ventera Corporation,"Reston, Virginia (Headquarters)",http://www.ventera.com,,,AWS Public Sector Partner: Government,"AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate",Center for Medicaid and Medicare Services (CMS) SPARC,"Archiving,Business Applications - Microsoft,Business Applications - Oracle,Business Applications - Other,Content Delivery,Database & Data Warehouse,Dev & Test,Disaster Recovery,High Availability,Mobile,Security & Compliance,Value (Cost Savings/TCO),Web & Web Apps,Big Data, Analytics, Batch Processing & Business Intelligence (BI),Storage (Backup, Recovery & Asset Storage)","Government, Education & Public Services","Enterprise,Government - Local,Government - National","Apache,Hadoop,IBM,JBOSS,Linux,Microsoft .NET,Microsoft Exchange,Microsoft SharePoint,Microsoft SQL,MySql,Oracle DB,Oracle Middleware","Cloud Migration Services,Custom Application Development,Managed Service Provider,Strategic / IT Consulting,Assessments",SBA Certified Small Business(SB),https://aws.amazon.com/partners/find/partnerdetails/?n=Ventera%20Corporation&id=0010L00001pDTlpQAG
NGA 911 LLC,"Monrovia, California (Headquarters)",http://www.nga911.com,,"Putting Next Generation 9-1-1 in the Cloud - Where it belongs! What happens when you leverage AWS - NFV - SDN - MEF - Direct Connect and a litte SD-WAN to achieve Public Safety Grade Anywhere, Anytime, Any Device Access to our Nations Public Safety Answering Points (PSAPs)? We have the Answer!",AWS Public Sector Partner: Government,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=NGA%20911%20LLC&id=0010L00001pDWFbQAO
Alion Science and Technology,"McLean, Virginia (Headquarters)",http://www.alionscience.com,,,AWS Public Sector Partner: Government,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Alion%20Science%20and%20Technology&id=0010L00001pE3Y6QAK
Precise Software Solutions,"Rockville, Maryland (Headquarters)",http://www.precise-soft.com/,,"Leveraging our team of experienced cloud practitioners and AWS certified Solution Architects, Developers and SysOps Administrators, we offer a broad portfolio of cloud solutions and services. We have been highly appraised by our customers on the thought leadership, strategy, design, implementation, hosting, cloud management, and governance services we provided along their journey to the cloud.",AWS Public Sector Partner: Government,"AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate,AWS Certified Sysops Administrator - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Precise%20Software%20Solutions&id=0010L00001pE5deQAC
Flane d.o.o. (Fast Lane CEE),"Ljubljana, Central Eastern Europe (Headquarters)",http://www.fastlane.si,,"Fast Lane is the leading provider of IT education for the most established, respected and innovative technology companies across the globe. We provide technology and business education, coaching as well as consulting services to vendors, their channel and end-user customers. Through our portfolio, we are well positioned to help organizations achieve their business goals.",Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Flane%20d.o.o.%20(Fast%20Lane%20CEE)&id=0010L00001qFp0yQAC
DEVOTEAM SA,"Levallois-Perret, FRANCE (Headquarters)",http://www.devoteam.com,,,Authorized Training Partner,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=DEVOTEAM%20SA&id=0010L00001qG3qvQAC
Sabio Solutions,"Ciudad de Mexico, CDMX (Headquarters)",http://www.sabiosolutions.com,,"Sabio Solutions lleva casi 20 años entregando servicios de consultoría, infraestructura y servicios administrados de alta calidad a su amplia gama de clientes que se encuentran en finanzas, seguros, construcción y gobierno. Somos expertos en el diseño de arquitectura de infraestructura altamente complejas y todos nuestros servicios son garantizados.",Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Sabio%20Solutions&id=0010L00001qGtAhQAK
TachTech,"San Francisco, California (Headquarters)",http://www.tachtech.net,,,Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=TachTech&id=0010L00001qItOcQAK
"PS Technologies, Inc","Chicago, Illinois (Headquarters)",http://www.legalserver.org,,,"AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=PS%20Technologies%2C%20Inc&id=0010L00001qIturQAC
"Paragon Micro, Inc.","Lake Zurich, Illinois (Headquarters)",http://www.paragonmicro.com,,,Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Paragon%20Micro%2C%20Inc.&id=0010L00001qJEFJQA4
mUniversity,"New Mumbai, Maharashtra (Headquarters)",http://www.muniversity.mobi,,,"AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=mUniversity&id=0010L00001qvJ4HQAU
MULTICAMPUS CO.LTD.,"Seoul, Seoul, Gangnam-gu (Headquarters)",http://www.multicampus.com/,,,Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=MULTICAMPUS%20CO.LTD.&id=0010L00001qvlR1QAI
Fast Lane Poland,"Warsaw, mazowieckie (Headquarters)",http://www.flane.pl,,Fast lane Poland as AWS (Amazon Web Services) Authorized Training Partner Fast Lane provides the necessary skills to develop and operate infrastructures and applications in the AWS cloud.,Authorized Training Partner,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Fast%20Lane%20Poland&id=0010L00001qvqQvQAI
KGITBANK,"Seoul, Korea (Headquarters)",http://www.kgitbank.co.kr,,,Authorized Training Partner,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=KGITBANK&id=0010L00001qw3CgQAI
ETHNUS Consultancy Services Pvt Ltd,"Bangalore, Karnataka (Headquarters)",http://www.ethnus.com,,,Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=ETHNUS%20Consultancy%20Services%20Pvt%20Ltd&id=0010L00001qx24OQAQ
Opentrends,"Barcelona, BARCELONA (Headquarters)",http://www.opentrends.net,,"At Opentrends, we have a simple but compelling vision: to build a tech consultancy as strong in its strategic thinking as it was in its creativity and reliability. Our goal is to enable companies embracing authentic experiences that inspire their people, engage their customers and disrupt their markets. We ensure apps, websites and products fit in people's lives.","AWS Public Sector Partner: Government, Education, Nonprofit",AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Opentrends&id=0010L00001qzRpSQAU
Informator Utbildning Svenska AB,"Stockholm, Stockholm (Headquarters)",http://www.informator.se,,"Informator Tieturi Group (part of NASDAQ OMX-listed Soprano Oyj) are the leading IT-training provider in Scandinavia. We offer training at all levels for Technicians, System Developers, IT-users and a massive course portfolio for management and business. The group consists of Informator, Tieturi and Management Institute of Finland and deliver training globally to more than 67,000 students yearly",Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Informator%20Utbildning%20Svenska%20AB&id=0010L00001rCFYQQA4
Ningxia Western Cloud Data Technology Co.Ltd.,"BEIJING, Beijing (Headquarters)",http://www.nwcdcloud.cn,,"Ningxia Western Cloud Data Technology Co. Ltd. (referred to as NWCD hereafter), founded in February, 2015, is dedicated to provide Chinese customers with excellent value-added telecom services, main business including IDC, ISP, cloud computing services, etc. Headquartered in Zhongwei of Ningxia, NWCD aims to provide customers with the advanced technology, high quality resources and services of AWS",Authorized Training Partner,"AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified Developer - Associate,AWS Certified DevOps Engineer - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Ningxia%20Western%20Cloud%20Data%20Technology%20Co.Ltd.&id=0010L00001rCaF1QAK
Cambrian Technologies,"Laren, NH (Headquarters)",http://www.cambrian-technologies.com,,"We restructure and decomplexify IT by using advanced cloud technologies and SaaS services. We design the new architecture, build and deliver the business case: we migrate to the new environment and maintain and improve it continuously.",AWS Public Sector Partner: Nonprofit,"AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Cambrian%20Technologies&id=0010L00001rCjmTQAS
Flipkick,"Porto, Porto (Headquarters)",https://flipkick.cloud,,"We balance a deep knowledge of the available technologies with a clear understanding of the needs and objectives of our clients businesses. Flip Kick’s team has more than 20 years of experience in managing projects of high complexity, availability and dimension. Amongst others, in intr",AWS Public Sector Partner: Government,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Flipkick&id=0010L00001rDoqgQAC
"Paradyme Management, Inc.","Greenbelt, Maryland (Headquarters)",http://www.paradymemanagement.com/,,,AWS Public Sector Partner: Government,"AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Paradyme%20Management%2C%20Inc.&id=0010L00001rE9A4QAK
BilgeAdam,"Istanbul, TR (Headquarters)",http://www.bilgeadam.com,,,Authorized Training Partner,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=BilgeAdam&id=0010L00001rEg9TQAS
Ennova,"Torino, Piemonte (Headquarters)",http://www.ennova.it,,,Authorized Commercial Reseller,"AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Ennova&id=0010L00001rEgFgQAK
KORNERSTONE Limited,"Hong Kong, Hong Kong Island (Headquarters)",http://www.kornerstone.com,,"KORNERSTONE Institute, a TRAINOCATE company, is an Authorized Training Partner of Amazon Web Services (AWS) and the official exam centre in Hong Kong. Together with other TRAINOCATE companies, we offer a full range of AWS training in 12 Asian locations including Singapore, Japan, Malaysia, Indonesia, Hong Kong, China, Thailand and Vietnam.",Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=KORNERSTONE%20Limited&id=0010L00001rbRKkQAM
kloudr,"Beirut, Beirut (Headquarters)",http://www.kloudr.com,,Customers are typically resources constrained and their time to market is most critical. kloudr understands these constraints and offers customers fast track access to AWS. Our Cloud Experts will act as your Cloud consultants to help you quickly and efficiently enable your Cloud presence so you can capture the power of the Cloud while you focus on your core business.,Authorized Commercial Reseller,AWS Certified Solutions Architect - Associate,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=kloudr&id=0010L00001rc9WBQAY
NanoCell Networks Pvt Ltd,"Bangalore, Karnataka (Headquarters)",http://www.nanocellnetworks.com,,"NanoCell Networks Pvt Ltd is an organization with focus on delivering telecom training solutions across the world. We believe in creating value for telecom industry through our quality training services in wireless technologies and next generation communication networks. Since the year 2008, we have worked closely with major telecom OEMs and Operators to develop competence of their teams.",Authorized Training Partner,,,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=NanoCell%20Networks%20Pvt%20Ltd&id=0010L00001rcP4LQAU
Hidden Lake Technology,"Arvada, Colorado (Headquarters)",http://www.hiddenlaketechnology.com,,"Fifteen years of experience delivering professional services solutions for top government and private institutions paired with the industry’s leading cloud provider means we’re not just engineers - we’re industry experts with the background to prove it. Hidden Lake Technology offers our expertise, skillsets and engineering to leverage the AWS cloud environment for your long term success.","AWS Public Sector Partner: Government, Education","AWS Certified Sysops Administrator - Associate,AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified DevOps Engineer - Professional",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Hidden%20Lake%20Technology&id=0010L00001rq9KGQAY
Cloud Moil,"San Mateo, California (Headquarters)",http://www.cloudmoil.com,,,Authorized Commercial Reseller,"AWS Certified Solutions Architect - Associate,AWS Certified Developer - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=Cloud%20Moil&id=0010L00001rqULJQA2
SimInsights,"Lake Forest, California (Headquarters)",http://www.siminsights.com,,,"AWS Public Sector Partner: Government, Education, Nonprofit","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate",,,,,,,,https://aws.amazon.com/partners/find/partnerdetails/?n=SimInsights&id=0010L00001rqWVfQAM
